コード,銘柄名,市場,現在値,前日比(%),入力CSV,配当利回り(予)(%),時価総額(百万円),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),自己資本比率(%),PER(株価収益率)(予)(倍),売上高成長率(予)(%),経常利益成長率(予)(%),過去3年平均売上高成長率(予)(%),経常利益変化率(%)
3837,アドソル日進,東P,1443,-18.0(-1.23%),8271.csv,3.33,"24,949",,,,,,,,
3844,コムチュア,東P,1357,-16.0(-1.17%),8271.csv,3.83,"43,752",,,,,,,,
3861,王子ＨＬＤＧ,東P,880.0,+10.8(+1.24%),8271.csv,4.09,"804,656",,,,,,,,
3891,ニッポン高度紙工業,東S,6310,-120.0(-1.87%),8274.csv,,,,,,18.56,20.99,56.46,18.55,
3901,マークラインズ,東P,1570,+4.0(+0.26%),8271.csv,3.69,"20,769",,,,,,,,
3915,テラスカイ,東P,2263,-13.0(-0.57%),8274.csv,,,,,,20.88,19.76,45.92,16.61,
3916,デジタル・インフォメーション,東P,966,+5.0(+0.52%),8271.csv,3.93,"29,950",,,,,,,,
3923,ラクス,東P,1088.0,-13.0(-1.18%),8275.csv,,"385,577",,55.40,,,,47.56,12.41,70.68
3932,アカツキ,東P,3865,+70.0(+1.84%),8271.csv,4.14,"56,119",,,,,,,,
3937,Ｕｂｉｃｏｍ　ＨＬＤＧ,東S,1232,-5.0(-0.40%),8271.csv,3.25,"15,092",,,,,,,,
3939,カナミックネットワーク,東P,530,-3.0(-0.56%),8274.csv,,,,,,18.47,14.53,30.27,12.17,
3941,レンゴー,東P,1579.0,+7.0(+0.45%),8271.csv,3.22,"427,997",,,,,,,,
3964,オークネット,東P,1464,+15.0(+1.04%),8271.csv / 8274.csv,5.60,"140,621",,,,16.82,17.17,28.72,15.94,
3989,シェアリングテクノロジー,東G,1585,+15.0(+0.96%),8271.csv / 8274.csv,3.47,"38,721",,,,15.17,15.39,76.15,14.87,
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ,東P,3165,-35.0(-1.09%),8274.csv,,,,,,30.27,71.94,13.79,48.86,
3994,マネーフォワード,東P,6170.0,+20.0(+0.33%),8274.csv,,,,,,399.51,21.83,115.50,23.28,
4005,住友化学,東P,554.6,-0.5(-0.09%),8271.csv,3.02,"922,288",,,,,,,,
4021,日産化学,東P,8168.0,-17.0(-0.21%),8275.csv,,"1,101,046",,20.30,,,,7.64,8.24,13.58
4023,クレハ,東P,4445,-65.0(-1.44%),8271.csv,4.90,"178,877",,,,,,,,
4026,神島化学工業,東S,1629,-9.0(-0.55%),8271.csv,3.01,"15,052",,,,,,,,
4028,石原産業,東P,3210,+40.0(+1.26%),8271.csv,4.05,"129,632",,,,,,,,
4041,日本曹達,東P,3945,-5.0(-0.13%),8271.csv,3.99,"218,137",,,,,,,,
4042,東ソー,東P,2654.0,+19.0(+0.72%),8271.csv,3.81,"862,765",,,,,,,,
4043,トクヤマ,東P,4021.0,-2.0(-0.05%),8271.csv,3.25,"289,867",,,,,,,,
4044,セントラル硝子,東P,4485,-10.0(-0.22%),8271.csv,3.79,"116,610",,,,,,,,
4045,東亞合成,東P,1861.0,-0.5(-0.03%),8271.csv,3.71,"200,988",,,,,,,,
