コード,銘柄名,市場,現在値,前日比(%),入力CSV,配当利回り(予)(%),時価総額(百万円),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),自己資本比率(%),PER(株価収益率)(予)(倍),売上高成長率(予)(%),経常利益成長率(予)(%),過去3年平均売上高成長率(予)(%),経常利益変化率(%)
5105,ＴＯＹＯ　ＴＩＲＥ,東P,3842.0,+18.0(+0.47%),8271.csv,3.72,"592,094",,,,,,,,
5108,ブリヂストン,東P,4127.0,-7.0(-0.17%),8271.csv,3.20,"5,505,571",,,,,,,,
5110,住友ゴム工業,東P,2302.5,+12.0(+0.52%),8271.csv,3.96,"605,657",,,,,,,,
5121,藤倉コンポジット,東P,2627,-26.0(-0.98%),8271.csv,3.27,"52,737",,,,,,,,
5136,ｔｒｉｐｌａ,東G,1905,-21.0(-1.09%),8274.csv,,,,,,17.95,35.61,69.81,36.71,
5137,スマートドライブ,東G,292,+7.0(+2.46%),8274.csv,,,,,,14.82,44.16,32.43,38.19,
5192,三ツ星ベルト,東P,4425,+45.0(+1.03%),8271.csv,4.42,"137,636",,,,,,,,
5195,バンドー化学,東P,2487,+30.0(+1.22%),8271.csv,4.22,"109,959",,,,,,,,
5201,ＡＧＣ,東P,5739.0,+24.0(+0.42%),8271.csv,3.66,"1,247,858",,,,,,,,
5208,有沢製作所,東P,2588,+44.0(+1.73%),8271.csv / 8274.csv,4.64,"86,967",,,,17.31,15.10,13.69,14.23,
5214,日本電気硝子,東P,4730.0,-38.0(-0.80%),8271.csv,3.37,"423,445",,,,,,,,
5254,Ａｒｅｎｔ,東G,4035,-25.0(-0.62%),8274.csv,,,,,,17.35,43.97,15.21,40.47,
5288,アジアパイルＨＬＤＧ,東P,1566,+4.0(+0.26%),8271.csv,4.47,"59,649",,,,,,,,
5290,ベルテクスコーポレーション,東S,1182,-7.0(-0.59%),8271.csv / 8274.csv,3.38,"64,900",,,,11.01,17.26,11.83,18.39,
5302,日本カーボン,東P,4880,-25.0(-0.51%),8271.csv,4.10,"57,743",,,,,,,,
5344,ＭＡＲＵＷＡ,東P,54150.0,+240.0(+0.45%),8274.csv,,,,,,26.37,23.10,33.63,12.96,
5384,フジミインコーポレーテッド,東P,3600,-30.0(-0.83%),8274.csv,,,,,,23.26,12.74,13.97,11.89,
5401,日本製鉄,東P,677.0,+4.8(+0.71%),8271.csv / 8274.csv,3.64,"3,637,950",,,,12.25,13.38,159.51,14.55,
5406,神戸製鋼所,東P,2032.5,+7.5(+0.37%),8271.csv,3.85,"805,573",,,,,,,,
5411,ＪＦＥＨＬＤＧ,東P,1842.5,+8.5(+0.46%),8271.csv,4.34,"1,178,165",,,,,,,,
5440,共英製鋼,東P,2043,+18.0(+0.89%),8271.csv,3.10,"91,728",,,,,,,,
5444,大和工業,東P,12390.0,-50.0(-0.40%),8271.csv,3.20,"768,180",,,,,,,,
5463,丸一鋼管,東P,1752.5,-1.0(-0.06%),8271.csv,3.02,"441,630",,,,,,,,
547A,ムニノバＨＬＤＧ,東P,458,+3.0(+0.66%),8271.csv / 8275.csv,3.89,"221,956",,11.80,,,,21.70,11.52,32.54
5480,日本冶金工業,東P,5490,+50.0(+0.92%),8271.csv,4.01,"85,080",,,,,,,,
5482,愛知製鋼,東P,3225,+20.0(+0.62%),8271.csv,4.65,"208,080",,,,,,,,
5537,ＡｌｂａＬｉｎｋ,東G,3435,+405.0(+13.37%),8274.csv,,,,,,19.94,45.89,40.14,48.21,
556A,犬猫生活,東G,2241,-23.0(-1.02%),8274.csv,,,,,,12.36,24.59,30.00,38.92,
5572,Ｒｉｄｇｅ−ｉ,東G,2885,+127.0(+4.60%),8274.csv,,,,,,35.57,11.83,72.41,64.48,
5574,ＡＢＥＪＡ,東G,2833,+93.0(+3.39%),8274.csv,,,,,,62.40,24.90,27.72,27.23,
5582,グリッド,東G,1932,-20.0(-1.02%),8274.csv,,,,,,20.55,28.24,50.21,39.23,
5590,ネットスターズ,東G,690,-6.0(-0.86%),8274.csv,,,,,,23.23,20.09,60.27,21.39,
5591,ＡＶＩＬＥＮ,東G,850,-10.0(-1.16%),8274.csv,,,,,,14.05,30.94,118.39,32.82,
5592,くすりの窓口,東G,2723,+15.0(+0.55%),8274.csv,,,,,,10.07,16.79,16.28,13.39,
5599,Ｓ＆Ｊ,東G,992,+5.0(+0.51%),8274.csv,,,,,,12.64,18.27,16.04,19.19,
5602,栗本鐵工所,東P,1738,+7.0(+0.40%),8271.csv,3.45,"111,219",,,,,,,,
5621,ヒューマンテクノロジーズ,東G,1602,-40.0(-2.44%),8274.csv,,,,,,12.27,13.94,12.80,18.77,
5631,日本製鋼所,東P,7646.0,-28.0(-0.36%),8274.csv,,,,,,25.67,13.94,12.47,12.25,
5714,ＤＯＷＡ　ＨＬＤＧ,東P,10450.0,+355.0(+3.52%),8271.csv / 8274.csv / 8275.csv,3.25,"647,787",,14.60,,10.57,25.18,49.99,17.25,24.60
5741,ＵＡＣＪ,東P,2421,+60.0(+2.54%),8274.csv,,,,,,10.19,15.94,11.57,17.12,
5801,古河電気工業,東P,3905.0,-95.0(-2.38%),8274.csv / 8275.csv,,"2,759,543",,19.10,,28.03,14.40,75.79,11.57,56.18
5802,住友電気工業,東P,2211.5,+12.0(+0.55%),8275.csv,,"7,023,198",,14.70,,,,10.83,7.26,39.35
5803,フジクラ,東P,5305.0,+13.0(+0.25%),8274.csv / 8275.csv,,"9,417,335",,32.50,,34.34,31.82,79.44,26.15,45.35
5805,ＳＷＣＣ,東P,14490,+280.0(+1.97%),8274.csv / 8275.csv,,"446,681",,20.70,,21.01,19.03,19.05,17.89,131.81
581A,ＧＯ,東G,3835,-40.0(-1.03%),8274.csv,,,,,,27.21,19.61,110.31,25.58,
5821,平河ヒューテック,東P,3160,-15.0(-0.47%),8274.csv,,,,,,11.98,30.13,12.09,27.41,
5845,全保連,東S,1241,-8.0(-0.64%),8271.csv,3.87,"33,079",,,,,,,,
5851,リョービ,東P,2786,+7.0(+0.25%),8271.csv,3.73,"88,621",,,,,,,,
5852,アーレスティ,東P,686,+4.0(+0.59%),8271.csv,7.29,"17,525",,,,,,,,
5857,ＡＲＥＨＬＤＧ,東P,4050,+40.0(+1.00%),8271.csv / 8275.csv,3.00,"351,757",,11.30,,,,44.84,29.34,64.84
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈ,東P,2600,+13.0(+0.50%),8271.csv / 8274.csv,3.31,"63,036",,,,13.11,15.34,24.49,13.58,
5892,ｙｕｔｏｒｉ,東G,2419,-1.0(-0.04%),8274.csv,,,,,,15.45,29.96,33.00,49.24,
590A,ギフティグループ,東P,1279,-40.0(-3.03%),8274.csv,,,,,,18.54,19.46,41.62,33.01,
5911,横河ブリッジＨＬＤＧ,東P,3010,+19.0(+0.64%),8271.csv,4.32,"129,926",,,,,,,,
5929,三和ＨＬＤＧ,東P,3638.0,-8.0(-0.22%),8271.csv,3.90,"796,722",,,,,,,,
5938,ＬＩＸＩＬ,東P,1767.5,-3.5(-0.20%),8271.csv,5.09,"508,447",,,,,,,,
5943,ノーリツ,東P,2449,+15.0(+0.62%),8271.csv,3.84,"118,911",,,,,,,,
5947,リンナイ,東P,3584.0,+13.0(+0.36%),8271.csv,3.04,"505,798",,,,,,,,
5949,ユニプレス,東P,1346,-2.0(-0.15%),8271.csv,5.08,"60,577",,,,,,,,
5957,日東精工,東P,774,+4.0(+0.52%),8271.csv,3.10,"30,948",,,,,,,,
5970,ジーテクト,東P,2340,+2.0(+0.09%),8271.csv,4.19,"102,799",,,,,,,,
5975,東プレ,東P,3195,+35.0(+1.11%),8271.csv / 8273.csv,3.44,"172,600",0.65,8.00,62.52,8.87,,,,
5981,東京製綱,東P,1973,+48.0(+2.49%),8271.csv,3.55,"32,097",,,,,,,,
5988,パイオラックス,東P,1733,+15.0(+0.87%),8271.csv,5.31,"64,215",,,,,,,,
6013,タクマ,東P,3065,-5.0(-0.16%),8271.csv / 8274.csv,3.46,"231,987",,,,14.42,14.12,17.45,11.82,
6027,弁護士ドットコム,東P,5050,+705.0(+16.23%),8274.csv,,,,,,55.99,26.44,42.88,20.98,
6036,ＫｅｅＰｅｒ技研,東P,3240,-45.0(-1.37%),8271.csv,3.09,"91,630",,,,,,,,
6039,日本動物高度医療センター,東G,1045,-8.0(-0.76%),8274.csv,,,,,,13.93,10.13,16.46,13.68,
6047,Ｇｕｎｏｓｙ,東S,425,+5.0(+1.19%),8271.csv,3.06,"10,301",,,,,,,,
6062,チャーム・ケア,東P,1412,+17.0(+1.22%),8271.csv,3.19,"46,189",,,,,,,,
6069,トレンダーズ,東G,697,-3.0(-0.43%),8274.csv,,,,,,10.82,14.76,13.26,23.87,
6071,ＩＢＪ,東P,923,-10.0(-1.07%),8274.csv,,,,,,12.85,42.86,24.98,27.46,
6080,Ｍ＆Ａキャピタルパートナーズ,東P,4235,+0.0(+0.00%),8274.csv,,,,,,17.73,22.21,43.00,19.64,
6088,シグマクシス・ＨＬＤＧ,東P,555,-6.0(-1.07%),8271.csv,4.68,"47,730",,,,,,,,
6104,芝浦機械,東P,4390,+5.0(+0.11%),8271.csv,3.19,"108,962",,,,,,,,
6113,アマダ,東P,2570.0,-16.0(-0.62%),8274.csv,,,,,,20.00,11.35,26.11,10.80,
6134,ＦＵＪＩ,東P,7275.0,+56.0(+0.78%),8274.csv,,,,,,17.20,29.84,99.35,35.69,
6135,牧野フライス製作所,東P,15340,+10.0(+0.07%),8274.csv,,,,,,13.18,13.02,31.32,12.27,
6137,小池酸素工業,東S,1491,+15.0(+1.02%),8271.csv,3.35,"33,718",,,,,,,,
6141,ＤＭＧ森精機,東P,3030.0,-7.0(-0.23%),8271.csv,3.48,"431,247",,,,,,,,
6143,ソディック,東P,1781,+97.0(+5.76%),8274.csv,,,,,,14.37,18.31,81.36,13.75,
6146,ディスコ,東P,60610.0,-90.0(-0.15%),8274.csv / 8275.csv,,"6,576,585",,25.10,,35.88,27.23,35.40,18.88,9.47
6176,ブランジスタ,東S,1007,+2.0(+0.20%),8271.csv,6.45,"14,677",,,,,,,,
6183,ベルシステム２４ＨＬＤＧ,東P,1433,-9.0(-0.62%),8271.csv,4.19,"106,791",,,,,,,,
6184,鎌倉新書,東P,602,+1.0(+0.17%),8271.csv / 8274.csv,3.32,"24,799",,,,22.55,20.57,45.49,19.30,
6194,アトラエ,東P,893,+2.0(+0.22%),8271.csv,3.75,"19,928",,,,,,,,
6196,ストライクグループ,東P,1366,+6.0(+0.44%),8271.csv / 8274.csv,4.67,"78,694",,,,15.47,13.82,17.55,12.90,
6200,インソース,東P,739,+3.0(+0.41%),8271.csv,4.28,"62,995",,,,,,,,
6223,西部技研,東S,1949,-12.0(-0.61%),8271.csv,3.59,"39,954",,,,,,,,
6226,守谷輸送機工業,東S,2217,-64.0(-2.81%),8274.csv,,,,,,16.73,10.58,12.36,15.85,
6231,木村工機,東S,13370,+130.0(+0.98%),8274.csv,,,,,,12.09,12.71,16.18,12.21,
6240,ヤマシンフィルタ,東P,542,+9.0(+1.69%),8271.csv,3.69,"37,907",,,,,,,,
6245,ヒラノテクシード,東S,1836,+24.0(+1.32%),8271.csv,4.58,"28,264",,,,,,,,
6247,日阪製作所,東P,1810,+31.0(+1.74%),8271.csv,3.09,"52,006",,,,,,,,
6262,ＰＥＧＡＳＵＳ,東S,547,+2.0(+0.37%),8271.csv,5.48,"13,581",,,,,,,,
6272,レオン自動機,東P,1561,+6.0(+0.39%),8271.csv,3.65,"44,320",,,,,,,,
6273,ＳＭＣ,東P,71520.0,-570.0(-0.79%),8274.csv,,,,,,22.26,23.64,22.70,14.68,
6278,ユニオンツール,東P,14440,-40.0(-0.28%),8274.csv,,,,,,22.74,39.42,122.47,31.05,
6284,日精エー・エス・ビー機械,東P,8840,+30.0(+0.34%),8274.csv,,,,,,13.89,16.89,26.47,17.79,
6294,オカダアイヨン,東P,1980,+9.0(+0.46%),8271.csv,3.84,"16,590",,,,,,,,
6305,日立建機,東P,5843.0,-93.0(-1.57%),8271.csv,3.26,"1,256,917",,,,,,,,
6306,日工,東P,1041,+8.0(+0.77%),8271.csv,4.03,"41,640",,,,,,,,
6309,巴工業,東P,2055,+34.0(+1.68%),8271.csv,3.70,"61,546",,,,,,,,
6315,ＴＯＷＡ,東P,2315,-22.0(-0.94%),8274.csv,,,,,,19.95,25.29,79.11,12.86,
6323,ローツェ,東P,4072.0,+13.0(+0.32%),8274.csv,,,,,,23.52,30.26,31.74,16.13,
6324,ハーモニック・ドライブ・システ,東P,5760,-20.0(-0.35%),8274.csv,,,,,,91.66,24.56,247.30,15.46,
6327,北川精機,東S,3200,-110.0(-3.32%),8274.csv,,,,,,24.88,51.34,45.49,26.72,
6331,三菱化工機,東P,3265,+40.0(+1.24%),8271.csv,3.52,"77,517",,,,,,,,
6332,月島ＨＬＤＧ,東P,2786,-17.0(-0.61%),8271.csv,3.19,"111,790",,,,,,,,
6333,ＴＥＩＫＯＫＵ,東P,3430,+55.0(+1.63%),8271.csv,3.85,"54,126",,,,,,,,
6337,テセック,東S,3175,-100.0(-3.05%),8271.csv / 8274.csv,3.15,"17,712",,,,14.14,32.93,157.09,12.07,
6345,アイチ,東P,1445,-13.0(-0.89%),8271.csv,4.50,"93,304",,,,,,,,
6349,小森コーポレーション,東P,2036,+34.0(+1.70%),8271.csv,3.68,"108,883",,,,,,,,
6357,三精テクノロジーズ,東S,2739,+114.0(+4.34%),8271.csv / 8273.csv,3.47,"52,951",0.97,10.60,52.74,9.40,,,,
6358,酒井重工業,東P,2160,-11.0(-0.51%),8271.csv,5.09,"19,300",,,,,,,,
6361,荏原製作所,東P,4959.0,+28.0(+0.57%),8275.csv,,"2,268,456",,15.60,,,,28.03,10.09,11.14
6368,オルガノ,東P,13415.0,+30.0(+0.22%),8275.csv,,"621,915",,21.50,,,,9.56,11.32,20.52
6369,トーヨーカネツ,東P,2512,+40.0(+1.62%),8271.csv,4.18,"40,308",,,,,,,,
6381,アネスト岩田,東P,1981,+20.0(+1.02%),8271.csv,4.69,"82,698",,,,,,,,
6383,ダイフク,東P,5853.0,-8.0(-0.14%),8274.csv / 8275.csv,,"2,223,146",,18.40,,24.62,10.27,13.74,13.74,40.47
6387,サムコ,東P,8530,-350.0(-3.94%),8274.csv,,,,,,36.07,15.60,13.78,14.74,
6395,タダノ,東P,1372,+1.0(+0.07%),8274.csv,,,,,,11.78,14.54,51.36,17.19,
6407,ＣＫＤ,東P,5560,+10.0(+0.18%),8274.csv,,,,,,18.47,24.08,53.43,12.20,
6412,平和,東P,2250,+9.0(+0.40%),8271.csv / 8274.csv,3.56,"224,570",,,,10.83,11.11,12.15,40.22,
6417,ＳＡＮＫＹＯ,東P,1986.5,+16.0(+0.81%),8271.csv,4.44,"456,895",,,,,,,,
6432,竹内製作所,東P,7570,+20.0(+0.26%),8271.csv,3.04,"370,922",,,,,,,,
6436,アマノ,東P,3958.0,+15.0(+0.38%),8271.csv,4.59,"281,438",,,,,,,,
6455,モリタＨＬＤＧ,東P,2511,+24.0(+0.97%),8271.csv,3.19,"114,046",,,,,,,,
6458,新晃工業,東P,1271,+12.0(+0.95%),8271.csv,3.93,"92,202",,,,,,,,
6463,ＴＰＲ,東P,1560,+8.0(+0.52%),8271.csv,4.10,"103,807",,,,,,,,
6469,放電精密加工研究所,東S,2945,-54.0(-1.80%),8274.csv,,,,,,36.13,17.03,30.06,13.96,
6471,日本精工,東P,1108.0,+0.0(+0.00%),8271.csv / 8274.csv,3.19,"554,000",,,,17.46,13.84,30.76,14.14,
6472,ＮＴＮ,東P,372.6,-0.3(-0.08%),8271.csv,3.35,"222,641",,,,,,,,
6473,ジェイテクト,東P,2058.0,+5.5(+0.27%),8271.csv,3.34,"655,695",,,,,,,,
6480,日本トムソン,東P,1773,-24.0(-1.34%),8274.csv,,,,,,12.50,27.08,149.90,21.36,
6490,ＰＩＬＬＡＲ,東P,10000,-300.0(-2.91%),8274.csv,,,,,,15.77,30.69,67.62,15.78,
6498,キッツ,東P,1969,+27.0(+1.39%),8271.csv,3.20,"172,417",,,,,,,,
6501,日立製作所,東P,5307.0,+7.0(+0.13%),8275.csv,,"24,070,222",,12.90,,,,10.32,9.02,32.24
6504,富士電機,東P,13965.0,-45.0(-0.32%),8275.csv,,"2,084,933",,13.10,,,,9.04,7.56,17.30
6505,東洋電機製造,東S,2426,-18.0(-0.74%),8271.csv,5.11,"23,617",,,,,,,,
6507,シンフォニア　テクノロジー,東P,12300,+30.0(+0.24%),8274.csv,,,,,,21.60,12.73,20.32,10.13,
6508,明電舎,東P,11750,+170.0(+1.47%),8274.csv,,,,,,22.05,11.89,26.50,10.10,
6516,山洋電気,東P,5440,-10.0(-0.18%),8271.csv / 8274.csv,3.22,"211,706",,,,15.76,25.22,56.21,17.21,
6524,湖北工業,東S,5080,+80.0(+1.60%),8274.csv,,,,,,33.02,21.03,36.90,15.18,
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩ,東P,8466.0,-23.0(-0.27%),8274.csv,,,,,,38.35,41.86,82.58,18.14,
6526,ソシオネクスト,東P,2004.0,+42.0(+2.14%),8274.csv,,,,,,25.87,16.11,50.64,11.21,
6532,ベイカレント,東P,7771.0,-39.0(-0.50%),8274.csv / 8275.csv,,"1,167,416",,35.80,,24.31,29.93,28.03,28.87,19.84
6544,ジャパンエレベーターサービスＨ,東P,1567.0,-15.5(-0.98%),8274.csv / 8275.csv,,"280,155",,32.90,,31.81,15.49,23.82,16.08,27.67
6562,ジーニー,東G,893,-12.0(-1.33%),8271.csv,7.39,"16,124",,,,,,,,
6564,ミダックＨＬＤＧ,東P,2162,+112.0(+5.46%),8274.csv,,,,,,17.24,15.96,17.55,12.23,
6570,共和コーポレーション,東S,3770,-460.0(-10.87%),8274.csv,,,,,,12.52,44.72,70.59,34.01,
6571,キュービーネットＨＬＤＧ,東P,1310,+5.0(+0.38%),8271.csv,3.51,"17,737",,,,,,,,
6584,三櫻工業,東P,790,-10.0(-1.25%),8271.csv,3.67,"29,318",,,,,,,,
6590,芝浦メカトロニクス,東P,3965,-130.0(-3.17%),8274.csv / 8275.csv,,"276,993",,21.70,,17.24,23.55,37.83,15.94,6.60
6592,マブチモーター,東P,1752.5,-19.0(-1.07%),8271.csv,3.01,"456,789",,,,,,,,
6597,ＨＰＣシステムズ,東G,3335,-100.0(-2.91%),8274.csv,,,,,,20.47,31.54,31.39,21.33,
6613,ＱＤレーザ,東G,2373,-79.0(-3.22%),8274.csv,,,,,,220.74,33.30,101.31,18.24,
6622,ダイヘン,東P,13140,+210.0(+1.62%),8274.csv,,,,,,16.83,20.08,38.81,12.30,
6627,テラプローブ,東S,10930,+180.0(+1.67%),8274.csv,,,,,,15.78,48.52,92.00,29.26,
6644,大崎電気工業,東P,1550,+20.0(+1.31%),8271.csv,3.16,"72,722",,,,,,,,
6645,オムロン,東P,6455.0,-21.0(-0.32%),8274.csv,,,,,,28.51,15.22,53.17,11.17,
6648,かわでん,東S,1703,-43.0(-2.46%),8271.csv,3.99,"35,695",,,,,,,,
6651,日東工業,東P,4390,+30.0(+0.69%),8271.csv,3.58,"177,611",,,,,,,,
6652,ＩＤＥＣ,東P,3575,-35.0(-0.97%),8271.csv / 8274.csv,3.64,"112,164",,,,17.46,19.64,52.99,13.83,
6653,正興電機製作所,東P,2177,-1.0(-0.05%),8274.csv,,,,,,10.92,17.91,24.76,12.76,
6675,サクサ,東S,2177,+20.0(+0.93%),8271.csv,5.74,"40,786",,,,,,,,
6677,エスケーエレクトロニクス,東S,3185,-30.0(-0.93%),8271.csv,4.77,"36,208",,,,,,,,
6701,日本電気,東P,4671.0,+21.0(+0.45%),8275.csv,,"6,372,407",,13.00,,,,9.78,5.00,66.06
6718,アイホン,東P,2881,+13.0(+0.45%),8271.csv,4.51,"50,821",,,,,,,,
6737,ＥＩＺＯ,東P,3060,+30.0(+0.99%),8271.csv,3.76,"129,532",,,,,,,,
6754,アンリツ,東P,3407.0,-26.0(-0.76%),8274.csv,,,,,,27.87,19.13,36.40,11.29,
6762,ＴＤＫ,東P,3031.0,-18.0(-0.59%),8274.csv,,,,,,23.99,12.24,20.29,12.92,
6777,ｓａｎｔｅｃ　ＨＬＤＧ,東S,18680,-870.0(-4.45%),8274.csv,,,,,,21.97,33.30,27.76,32.21,
6785,鈴木,東P,2918,+47.0(+1.64%),8271.csv,3.70,"42,032",,,,,,,,
6787,メイコー,東P,18590,+600.0(+3.34%),8274.csv / 8275.csv,,"498,274",,16.20,,17.46,34.53,37.52,25.10,41.17
6794,フォスター電機,東P,2950,-135.0(-4.38%),8271.csv,3.90,"73,750",,,,,,,,
6800,ヨコオ,東P,3770,-25.0(-0.66%),8274.csv,,,,,,15.70,11.56,40.56,10.12,
6804,ホシデン,東P,2698,-17.0(-0.63%),8271.csv / 8273.csv,3.09,"157,840",0.88,11.20,69.79,9.68,,,,
6806,ヒロセ電機,東P,25660.0,+55.0(+0.21%),8274.csv,,,,,,22.38,12.63,14.18,12.08,
6817,スミダコーポレーション,東P,1218,-12.0(-0.98%),8271.csv,4.35,"40,374",,,,,,,,
6834,精工技研,東S,25330,"-1,510.0(-5.63%)",8274.csv,,,,,,23.59,42.91,56.04,46.69,
6844,新電元工業,東P,3045,+0.0(+0.00%),8271.csv,3.28,"31,482",,,,,,,,
6855,日本電子材料,東S,6390,-230.0(-3.47%),8274.csv,,,,,,12.82,36.21,47.69,29.56,
6856,堀場製作所,東P,23590.0,+265.0(+1.14%),8274.csv / 8275.csv,,"996,282",,11.20,,20.31,15.59,33.89,10.14,8.08
6857,アドバンテスト,東P,35700.0,"+1,250.0(+3.63%)",8274.csv,,,,,,42.93,50.06,63.11,47.38,
6861,キーエンス,東P,81500.0,-750.0(-0.91%),8274.csv / 8275.csv,,"19,821,428",,13.50,,35.09,23.49,24.45,16.76,13.32
6863,ニレコ,東S,984,+10.0(+1.03%),8271.csv / 8274.csv,3.56,"21,697",,,,13.21,20.66,22.63,11.19,
6866,日置電機,東P,10750,-110.0(-1.01%),8274.csv,,,,,,19.96,27.18,57.61,14.57,
6871,日本マイクロニクス,東P,13540,-330.0(-2.38%),8274.csv,,,,,,26.07,47.88,86.37,36.57,
6882,三社電機製作所,東S,1191,+6.0(+0.51%),8271.csv,3.36,"17,805",,,,,,,,
6902,デンソー,東P,1919.0,-2.5(-0.13%),8271.csv,3.83,"5,586,171",,,,,,,,
6905,コーセル,東P,1304,-10.0(-0.76%),8271.csv,4.60,"53,707",,,,,,,,
6908,イリソ電子工業,東P,2777,-2.0(-0.07%),8271.csv,5.10,"67,928",,,,,,,,
6923,スタンレー電気,東P,3600.0,-10.0(-0.28%),8271.csv / 8274.csv,3.31,"453,600",,,,12.22,21.40,21.13,11.14,
6929,日本セラミック,東P,3730,+25.0(+0.67%),8271.csv,4.42,"101,573",,,,,,,,
6932,遠藤照明,東S,2559,+3.0(+0.12%),8271.csv / 8273.csv,3.63,"37,813",0.76,9.20,65.32,8.22,,,,
6941,山一電機,東P,7860,-90.0(-1.13%),8274.csv,,,,,,14.15,22.11,21.20,19.19,
6946,日本アビオニクス,東S,5750,-70.0(-1.20%),8274.csv,,,,,,16.67,19.89,34.38,31.89,
6958,日本シイエムケイ,東P,778,+28.0(+3.73%),8271.csv,3.60,"55,500",,,,,,,,
6961,エンプラス,東P,10030,-260.0(-2.53%),8274.csv,,,,,,16.18,16.44,19.10,14.07,
6962,大真空,東P,797,+5.0(+0.63%),8271.csv,3.51,"25,615",,,,,,,,
6995,東海理化電機製作所,東P,3115,+15.0(+0.48%),8271.csv,3.85,"277,964",,,,,,,,
6997,日本ケミコン,東P,2691,-7.0(-0.26%),8274.csv,,,,,,18.47,14.75,187.15,13.12,
7004,カナデビア,東P,1190,-14.0(-1.16%),8271.csv,3.11,"202,556",,,,,,,,
7011,三菱重工業,東P,3920.0,-26.0(-0.66%),8275.csv,,"13,224,700",,12.20,,,,25.99,5.39,26.74
7012,川崎重工業,東P,2575.0,-36.0(-1.38%),8275.csv,,"2,258,169",,13.70,,,,15.04,9.69,35.35
7013,ＩＨＩ,東P,2638.0,-58.0(-2.15%),8275.csv,,"2,856,321",,28.40,,,,28.93,6.43,33.94
7030,スプリックス,東S,976,-22.0(-2.20%),8271.csv,3.89,"17,547",,,,,,,,
7085,カーブスＨＬＤＧ,東P,970,-4.0(-0.41%),8271.csv,3.09,"91,042",,,,,,,,
7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,東P,1279,+7.0(+0.55%),8271.csv,4.57,"18,743",,,,,,,,
7148,ＦＰＧ,東P,1664,-9.0(-0.54%),8271.csv,6.01,"139,449",,,,,,,,
7164,全国保証,東P,3219.0,+23.0(+0.72%),8271.csv,3.76,"443,397",,,,,,,,
7172,ジャパンインベストメントアドバ,東P,2128,+35.0(+1.67%),8271.csv / 8274.csv,5.08,"132,154",,,,10.83,22.36,14.29,23.40,
7181,かんぽ生命保険,東P,1665.0,+1.5(+0.09%),8271.csv,3.39,"1,806,222",,,,,,,,
7187,ジェイリース,東P,1394,+2.0(+0.14%),8271.csv,4.30,"25,137",,,,,,,,
7189,西日本フィナンシャルＨＬＤＧ,東P,4745.0,+92.0(+1.98%),8274.csv,,,,,,13.12,10.02,31.33,17.59,
7191,イントラスト,東S,1180,+6.0(+0.51%),8271.csv / 8274.csv,4.41,"26,400",,,,13.53,17.23,14.41,16.70,
7198,ＳＢＩアルヒ,東P,847,+9.0(+1.07%),8271.csv,4.72,"37,871",,,,,,,,
7199,プレミアグループ,東P,2133,+14.0(+0.66%),8271.csv / 8274.csv,3.00,"86,915",,,,11.94,16.14,24.14,18.53,
7202,いすゞ自動車,東P,2237.0,+24.0(+1.08%),8271.csv,4.30,"1,540,738",,,,,,,,
7226,極東開発工業,東P,2352,+1.0(+0.04%),8271.csv,5.10,"94,433",,,,,,,,
7231,トピー工業,東P,3065,+20.0(+0.66%),8271.csv,4.40,"73,798",,,,,,,,
7239,タチエス,東P,2364,+10.0(+0.42%),8271.csv / 8273.csv,4.86,"83,314",0.77,9.20,61.56,9.00,,,,
7240,ＮＯＫ,東P,3029.0,+31.5(+1.05%),8271.csv,4.62,"487,375",,,,,,,,
7241,フタバ産業,東P,1125,+17.0(+1.53%),8271.csv,4.36,"100,778",,,,,,,,
7242,カヤバ,東P,4705,+0.0(+0.00%),8271.csv / 8273.csv,3.51,"191,017",0.86,12.20,50.59,7.90,,,,
7244,市光工業,東P,569,-1.0(-0.18%),8271.csv / 8273.csv,3.16,"54,901",0.69,8.30,61.02,9.93,,,,
7246,プレス工業,東P,997,+13.0(+1.32%),8271.csv,4.41,"97,772",,,,,,,,
7259,アイシン,東P,2252.5,+4.5(+0.20%),8271.csv,3.35,"1,635,369",,,,,,,,
7261,マツダ,東P,1203.5,+0.5(+0.04%),8271.csv,4.59,"760,376",,,,,,,,
7267,本田技研工業,東P,1674.5,-21.5(-1.27%),8271.csv,4.32,"7,590,508",,,,,,,,
7270,ＳＵＢＡＲＵ,東P,2625.5,+12.5(+0.48%),8271.csv,4.60,"1,883,364",,,,,,,,
7278,エクセディ,東P,6170,-30.0(-0.48%),8271.csv,5.67,"299,823",,,,,,,,
7282,豊田合成,東P,5412.0,+98.0(+1.84%),8271.csv,3.26,"636,528",,,,,,,,
7283,愛三工業,東P,2301,+13.0(+0.57%),8271.csv,3.80,"145,899",,,,,,,,
7287,日本精機,東S,2710,+116.0(+4.47%),8271.csv,3.32,"158,457",,,,,,,,
7296,エフ・シー・シー,東P,4120,-45.0(-1.08%),8271.csv,4.43,"214,473",,,,,,,,
7313,テイ・エス　テック,東P,1845.0,-1.0(-0.05%),8271.csv,5.01,"228,780",,,,,,,,
